city,lat,lng,country
Trang,7.56,99.61,Thailand
Phetchaburi,13.11,99.94,Thailand
Yasothon,15.79,104.15,Thailand
Surin,14.89,103.49,Thailand
Uttaradit,17.63,100.10,Thailand
Mae Hong Son,19.30,97.97,Thailand
Samut Songkhram,13.41,100.00,Thailand
Aranyaprathet,13.68,102.50,Thailand
Tak,16.88,99.13,Thailand
Chiang Mai,18.80,98.98,Thailand
Narathiwat,6.43,101.82,Thailand
Songkhla,7.21,100.56,Thailand
Hat Yai,7.00,100.47,Thailand
Ubon Ratchathani,15.25,104.83,Thailand
Trat,12.24,102.51,Thailand
Kanchanaburi,14.02,99.52,Thailand
Bua Yai,15.58,102.42,Thailand
Sakhon Nakhon,17.17,104.15,Thailand
Lamphun,18.50,99.07,Thailand
Nakhon Pathom,13.82,100.06,Thailand
Ratchaburi,13.54,99.82,Thailand
Udon Thani,17.40,102.79,Thailand
Samut Sakhon,13.54,100.27,Thailand
Sisaket,15.12,104.33,Thailand
Supham Buri,14.47,100.13,Thailand
Nakhon Ratchasima,15.00,102.10,Thailand
Nonthaburi,13.83,100.48,Thailand
Mae Sot,16.72,98.57,Thailand
Khon Kaen,16.42,102.83,Thailand
Mukdahan,16.55,104.72,Thailand
Nong Bua Lamphu,17.20,102.44,Thailand
Thung Song,8.15,99.73,Thailand
Nakhon Si Thammarat,8.40,99.97,Thailand
Krabi,8.05,98.91,Thailand
Pathum Thani,14.02,100.53,Thailand
Nakhon Nayok,14.20,101.22,Thailand
Prachuap Khiri Khan,11.80,99.80,Thailand
Nan,18.79,100.77,Thailand
Bueng Kan,18.36,103.65,Thailand
Hua Hin,12.57,99.94,Thailand
Kamphaeng Phet,16.47,99.53,Thailand
Chumphon,10.51,99.19,Thailand
Pattani,6.86,101.25,Thailand
Buriram,15.00,103.12,Thailand
Saraburi,14.53,100.88,Thailand
Khorugh,37.49,71.55,Tajikistan
Qurghonteppa,37.84,68.77,Tajikistan
Kulob,37.92,69.78,Tajikistan
Konibodom,40.29,70.43,Tajikistan
Khujand,40.29,69.62,Tajikistan
Uroteppa,39.92,69.00,Tajikistan
Dushanbe,38.56,68.77,Tajikistan
Kuybyshevskiy,37.98,68.69,Tajikistan
Dili,-8.56,125.58,Timor-Leste
Turkmenbasy,40.02,52.97,Turkmenistan
Dasoguz,41.84,59.97,Turkmenistan
Koneurgench,42.32,59.17,Turkmenistan
Balkanabat,39.51,54.36,Turkmenistan
Celeken,39.44,53.12,Turkmenistan
Atamyrat,37.82,65.20,Turkmenistan
Mary,37.60,61.83,Turkmenistan
Turkmenabat,39.11,63.58,Turkmenistan
Tejen,37.38,60.50,Turkmenistan
Kaka,37.35,59.60,Turkmenistan
Gyzlarbat,38.98,56.28,Turkmenistan
Buzmeyin,38.05,58.21,Turkmenistan
Ashgabat,37.95,58.38,Turkmenistan
Anew,37.89,58.52,Turkmenistan
Dehibat,32.02,10.70,Tunisia
Zarzis,33.51,11.10,Tunisia
Gabes,33.90,10.10,Tunisia
Gafsa,34.42,8.78,Tunisia
Qasserine,35.18,8.83,Tunisia
Sdid Bouzid,35.02,9.50,Tunisia
Sfax,34.75,10.72,Tunisia
Mahdia,35.48,11.04,Tunisia
Monastir,35.73,10.77,Tunisia
Sousse,35.83,10.63,Tunisia
Qairouan,35.68,10.10,Tunisia
El Kef,36.18,8.71,Tunisia
Jendouba,36.50,8.75,Tunisia
Beja,36.73,9.19,Tunisia
Bizerte,37.29,9.86,Tunisia
L'Ariana,36.87,10.20,Tunisia
Ben Arous,36.75,10.22,Tunisia
Zaghouan,36.40,10.15,Tunisia
Siliana,36.08,9.38,Tunisia
Nabeul,36.46,10.73,Tunisia
Manouba,36.81,10.10,Tunisia
Kebili,33.69,8.97,Tunisia
Tataouine,33.00,10.47,Tunisia
Medenine,33.40,10.42,Tunisia
Tozeur,33.93,8.13,Tunisia
Tunis,36.80,10.18,Tunisia
Ben Gardane,33.14,11.22,Tunisia
Neiafu,-18.65,-173.98,Tonga
Nukualofa,-21.14,-175.22,Tonga
Isparta,37.77,30.53,Turkey
Sivas,39.75,37.04,Turkey
Kilis,36.72,37.12,Turkey
Edirne,41.67,26.57,Turkey
Bingol,38.89,40.50,Turkey
Corum,40.52,34.95,Turkey
Igdir,39.92,44.05,Turkey
Batman,37.89,41.14,Turkey
Rize,41.02,40.52,Turkey
Ardahan,41.11,42.70,Turkey
Adiyaman,37.77,38.28,Turkey
Bitlis,38.39,42.12,Turkey
Trabzon,40.98,39.72,Turkey
Mardin,37.31,40.74,Turkey
Gaziantep,37.08,37.39,Turkey
Sinop,42.02,35.15,Turkey
Manisa,38.63,27.44,Turkey
Aydin,37.85,27.85,Turkey
Giresun,40.91,38.39,Turkey
Iskenderun,36.58,36.17,Turkey
Kahramanmaras,37.61,36.95,Turkey
Adana,37.00,35.32,Turkey
Osmaniye,37.07,36.25,Turkey
Kayseri,38.74,35.49,Turkey
Samsun,41.28,36.34,Turkey
Yozgat,39.82,34.82,Turkey
Bafra,41.57,35.91,Turkey
Amasya,40.65,35.83,Turkey
Tokat,40.31,36.56,Turkey
Nigde,37.98,34.69,Turkey
Kirikkale,39.85,33.53,Turkey
Burdur,37.72,30.28,Turkey
Kirsehir,39.14,34.17,Turkey
Karabuk,41.20,32.60,Turkey
Karaman,37.18,33.22,Turkey
Nevsehir,38.62,34.72,Turkey
Aksaray,38.37,34.03,Turkey
Polatli,39.58,32.15,Turkey
Afyon,38.75,30.55,Turkey
Kastamonu,41.39,33.78,Turkey
Bolu,40.74,31.61,Turkey
Antalya,36.89,30.70,Turkey
Konya,37.88,32.48,Turkey
Cankiri,40.61,33.62,Turkey
Ankara,39.93,32.86,Turkey
Balikesir,39.65,27.89,Turkey
Bartin,41.64,32.34,Turkey
Duzce,40.84,31.16,Turkey
Zonguldak,41.43,31.78,Turkey
Eskisehir,39.80,30.53,Turkey
Adapazari,40.80,30.42,Turkey
Izmit,40.78,29.93,Turkey
Yalova,40.66,29.28,Turkey
Bilecik,40.15,29.98,Turkey
Istanbul,41.11,29.01,Turkey
Denizli,37.77,29.08,Turkey
Mugla,37.22,28.36,Turkey
Tekirdag,40.99,27.51,Turkey
Kutahya,39.42,29.93,Turkey
Kirklareli,41.74,27.23,Turkey
Usak,38.68,29.42,Turkey
Soke,37.75,27.41,Turkey
Hatay,36.23,36.12,Turkey
Malatya,38.37,38.30,Turkey
Elazig,38.68,39.23,Turkey
Artvin,41.18,41.82,Turkey
Sirnak,37.51,42.45,Turkey
Hakkari,37.57,43.74,Turkey
Samandagi,36.12,35.93,Turkey
Gumushane,40.46,39.48,Turkey
Tunceli,39.12,39.53,Turkey
Bayburt,40.26,40.22,Turkey
Erzincan,39.75,39.49,Turkey
Agri,39.72,43.05,Turkey
Mus,38.75,41.50,Turkey
Izmir,38.44,27.15,Turkey
Van,38.50,43.40,Turkey
Kars,40.61,43.10,Turkey
Diyarbakir,37.92,40.23,Turkey
Erzurum,39.92,41.29,Turkey
Luleburgaz,41.41,27.36,Turkey
Bursa,40.20,29.07,Turkey
Canakkale,40.15,26.41,Turkey
Mersin,36.80,34.61,Turkey
Tarsus,36.92,34.88,Turkey
Tatvan,38.51,42.28,Turkey
Nusaybin,37.08,41.22,Turkey
Ordu,41.00,37.87,Turkey
Siirt,37.94,41.93,Turkey
Eregli,37.51,34.05,Turkey
Sanliurfa,37.17,38.80,Turkey
Port-of-Spain,10.65,-61.52,Trinidad And Tobago
Arima,10.64,-61.28,Trinidad And Tobago
Aranguez,10.65,-61.45,Trinidad And Tobago
Chaguanas,10.52,-61.42,Trinidad And Tobago
Couva,10.42,-61.46,Trinidad And Tobago
Debe,10.21,-61.45,Trinidad And Tobago
Diego Martin,10.72,-61.57,Trinidad And Tobago
Point Fortin,10.17,-61.68,Trinidad And Tobago
Princes Town,10.27,-61.37,Trinidad And Tobago
Rio Claro,10.31,-61.18,Trinidad And Tobago
San Fernando,10.28,-61.46,Trinidad And Tobago
Sangre Grande,10.59,-61.13,Trinidad And Tobago
Scarborough,11.18,-60.73,Trinidad And Tobago
Siparia,10.15,-61.51,Trinidad And Tobago
Tunapuna,10.65,-61.39,Trinidad And Tobago
Funafuti,-8.52,179.22,Tuvalu
Taipei,25.04,121.57,Taiwan
Nangan,26.15,119.93,Taiwan
Magong,23.57,119.58,Taiwan
Pingtung,22.68,120.48,Taiwan
Bade,24.96,121.30,Taiwan
Hualien,23.98,121.60,Taiwan
Miaoli,24.57,120.82,Taiwan
Zhubei,24.83,121.01,Taiwan
Yangmei,24.92,121.15,Taiwan
Taitung,22.76,121.14,Taiwan
Taoyuan,24.99,121.31,Taiwan
Pingzhen,24.94,121.22,Taiwan
Zhongli,24.97,121.22,Taiwan
Taibao,23.45,120.33,Taiwan
Yilan,24.75,121.75,Taiwan
Changhua,24.07,120.51,Taiwan
Nantou,23.92,120.68,Taiwan
Douliou,23.71,120.54,Taiwan
Puzi,23.46,120.24,Taiwan
Hsinchu,24.82,120.98,Taiwan
Chiayi,23.48,120.44,Taiwan
Banqiao,25.01,121.47,Taiwan
Taichung,24.15,120.68,Taiwan
Keelung,25.13,121.73,Taiwan
Tainan,23.00,120.20,Taiwan
Kaohsiung,22.63,120.27,Taiwan
Jincheng,24.43,118.32,Taiwan
Sumbawanga,-7.96,31.62,Tanzania
Mtwara,-10.27,40.19,Tanzania
Koani,-6.13,39.28,Tanzania
Mbeya,-8.89,33.43,Tanzania
Zanzibar,-6.16,39.20,Tanzania
Uvinza,-5.12,30.39,Tanzania
Musoma,-1.49,33.80,Tanzania
Tanga,-5.07,39.09,Tanzania
Kigoma,-4.88,29.61,Tanzania
Kakonko,-3.28,30.96,Tanzania
Moshi,-3.34,37.34,Tanzania
Arusha,-3.36,36.67,Tanzania
Lindi,-10.00,39.70,Tanzania
Kilindoni,-7.92,39.65,Tanzania
Kibiti,-7.73,38.95,Tanzania
Mikumi,-7.40,36.98,Tanzania
Chake Chake,-5.24,39.77,Tanzania
Kasulu,-4.58,30.10,Tanzania
Biharamulo,-2.63,31.31,Tanzania
Bukoba,-1.32,31.80,Tanzania
Iringa,-7.77,35.69,Tanzania
Songea,-10.68,35.65,Tanzania
Ngara,-2.47,30.65,Tanzania
Mwanza,-2.52,32.93,Tanzania
Wete,-5.06,39.73,Tanzania
Babati,-4.22,35.75,Tanzania
Singida,-4.82,34.74,Tanzania
Morogoro,-6.82,37.66,Tanzania
Tabora,-5.02,32.80,Tanzania
Dodoma,-6.18,35.75,Tanzania
Dar es Salaam,-6.80,39.27,Tanzania
Ifakara,-8.13,36.68,Tanzania
Tunduma,-9.28,32.77,Tanzania
Tunduru,-11.09,37.37,Tanzania
Itigi,-5.70,34.48,Tanzania
Masasi,-10.73,38.80,Tanzania
Kipili,-7.43,30.60,Tanzania
Tukuyu,-9.25,33.64,Tanzania
Manyoni,-5.78,34.90,Tanzania
Mbamba Bay,-11.28,34.77,Tanzania
Nzega,-4.21,33.18,Tanzania
Ngorongoro,-3.25,35.52,Tanzania
Kanyato,-4.46,30.26,Tanzania
Kilosa,-6.84,36.99,Tanzania
Same,-4.07,37.72,Tanzania
Sikonge,-5.63,32.77,Tanzania
Korogwe,-5.09,38.54,Tanzania
Bagamoyo,-6.44,38.89,Tanzania
Kibaha,-6.77,38.92,Tanzania
Mpwapwa,-6.35,36.48,Tanzania
Oldeani,-3.35,35.55,Tanzania
Karema,-6.82,30.43,Tanzania
Nyahanga,-2.38,33.55,Tanzania
Mbulu,-3.85,35.53,Tanzania
Kahama,-3.82,32.58,Tanzania
Shinyanga,-3.66,33.42,Tanzania
Vwawa,-9.11,32.93,Tanzania
Bariadi,-2.81,33.99,Tanzania
Geita,-2.87,32.17,Tanzania
Mahonda,-5.99,39.25,Tanzania
Mkokotoni,-5.88,39.26,Tanzania
Mpanda,-6.36,31.05,Tanzania
Njombe,-9.33,34.77,Tanzania
Uzhgorod,48.63,22.25,Ukraine
Kiev,50.43,30.52,Ukraine
Ivano-Frankivsk,48.93,24.71,Ukraine
Kherson,46.63,32.60,Ukraine
Donetsk,48.00,37.83,Ukraine
Khmelnytskyy,49.42,27.00,Ukraine
Makiyivka,48.03,37.97,Ukraine
Mykolayiv,46.97,31.98,Ukraine
Lvov,49.84,24.03,Ukraine
Odessa,46.49,30.71,Ukraine
Kharkiv,50.00,36.25,Ukraine
Zaporizhzhya,47.86,35.18,Ukraine
Luhansk,48.57,39.33,Ukraine
Sumy,50.92,34.78,Ukraine
Ternopil,49.54,25.58,Ukraine
Poltava,49.57,34.57,Ukraine
Vinnytsya,49.23,28.48,Ukraine
Simferopol',44.96,34.11,Ukraine
Lutsk,50.75,25.33,Ukraine
Chernivtsi,48.31,25.92,Ukraine
Cherkasy,49.43,32.07,Ukraine
Mariupol,47.10,37.56,Ukraine
Chernobyl,51.39,30.10,Ukraine
Zhytomyr,50.25,28.66,Ukraine
Horlivka,48.30,38.05,Ukraine
Kramatorsk,48.72,37.53,Ukraine
Lysychansk,48.92,38.43,Ukraine
Melitopol,46.84,35.38,Ukraine
Chernihiv,51.50,31.30,Ukraine
Nizhyn,51.05,31.89,Ukraine
Berdyansk,46.76,36.79,Ukraine
Kovel,51.22,24.72,Ukraine
Kupyansk,49.72,37.60,Ukraine
Nikopol,47.57,34.41,Ukraine
Rivne,50.62,26.25,Ukraine
Uman,48.75,30.21,Ukraine
Drohobych,49.34,23.50,Ukraine
Konotop,51.24,33.21,Ukraine
Voznesensk,47.55,31.33,Ukraine
Korosten,50.95,28.65,Ukraine
Kamyanets-Podilskyy,48.68,26.58,Ukraine
Shostka,51.87,33.48,Ukraine
Kryvyy Rih,47.93,33.35,Ukraine
Izmayil,45.35,28.84,Ukraine
Bila Tserkva,49.77,30.13,Ukraine
Brovary,50.49,30.78,Ukraine
Sevastopol',44.59,33.52,Ukraine
Kremenchuk,49.08,33.43,Ukraine
Kirovohrad,48.50,32.26,Ukraine
Dnipro,48.48,35.00,Ukraine
Illichivsk,46.30,30.67,Ukraine
Rukungiri,-0.84,29.94,Uganda
Kanungu,-0.96,29.79,Uganda
Katwe,-0.13,29.92,Uganda
Kumi,1.46,33.94,Uganda
Bugiri,0.57,33.74,Uganda
Kasese,0.23,29.99,Uganda
Kibale,0.80,31.07,Uganda
Kiboga,0.92,31.77,Uganda
Bushenyi,-0.59,30.21,Uganda
Hoima,1.44,31.34,Uganda
Kayunga,0.70,32.89,Uganda
Jinja,0.44,33.20,Uganda
Nakapiripirit,1.92,34.78,Uganda
Kyenjojo,0.63,30.62,Uganda
Kalangala,-0.31,32.23,Uganda
Mukono,0.35,32.76,Uganda
Sembabule,-0.08,31.46,Uganda
Kamwenge,0.21,30.42,Uganda
Wakiso,0.40,32.46,Uganda
Ntungamo,-0.88,30.26,Uganda
Nakasongola,1.31,32.46,Uganda
Kabale,-1.25,29.98,Uganda
Masindi,1.67,31.72,Uganda
Rakai,-0.72,31.48,Uganda
Isingiro,-0.87,30.83,Uganda
Masindi-Port,1.70,32.07,Uganda
Zombo,2.51,30.91,Uganda
Pallisa,1.15,33.71,Uganda
Luwero,0.85,32.47,Uganda
Kotido,2.98,34.13,Uganda
Lira,2.26,32.89,Uganda
Mubende,0.59,31.37,Uganda
Buikwe,0.34,33.01,Uganda
Lamwo,3.53,32.80,Uganda
Agago,2.83,33.33,Uganda
Napak,2.25,34.25,Uganda
Luuka Town,0.70,33.30,Uganda
Otuke,2.50,33.50,Uganda
Alebtong,2.24,33.25,Uganda
Amuria,2.00,33.65,Uganda
Kole,2.40,32.80,Uganda
Oyam,2.24,32.39,Uganda
Abim,2.70,33.68,Uganda
Kaabong,3.52,34.12,Uganda
Binyin,1.42,34.53,Uganda
Bulambuli,1.17,34.38,Uganda
Bududa,1.01,34.33,Uganda
Amudat,1.95,34.95,Uganda
Bukwa,1.26,34.75,Uganda
Kapchorwa,1.40,34.45,Uganda
Masaka,-0.33,31.73,Uganda
Mbale,1.09,34.17,Uganda
Mbarara,-0.60,30.65,Uganda
Tororo,0.71,34.17,Uganda
Sironko,1.25,34.30,Uganda
Rubirizi,-0.30,30.13,Uganda
Mitoma,-0.68,30.07,Uganda
Ntoroko,1.04,30.48,Uganda
Kanoni,0.18,31.88,Uganda
Kibingo,-0.63,30.44,Uganda
Nakaseke,0.75,32.39,Uganda
Ibanda,-0.15,30.53,Uganda
Namayingo,0.24,33.88,Uganda
Kitamilo,0.22,33.21,Uganda
Kyegegwa,0.50,31.04,Uganda
Lwengo,-0.42,31.41,Uganda
Bukomansimbi,-0.16,31.60,Uganda
Kalungu,-0.17,31.76,Uganda
Kiruhura,-0.24,30.87,Uganda
Lyantonde,-0.40,31.16,Uganda
Buyende,1.15,33.16,Uganda
Ngora,1.43,33.78,Uganda
Kibuku,1.04,33.80,Uganda
Buhweju,-0.35,30.30,Uganda
Bukedea,1.32,34.05,Uganda
Kampala,0.32,32.58,Uganda
Nebbi,2.48,31.10,Uganda
Bombo,0.58,32.53,Uganda
Koboko,3.41,30.96,Uganda
Arua,3.02,30.90,Uganda
Maracha,3.27,30.96,Uganda
Yumbe,3.47,31.25,Uganda
Bulisa,2.12,31.41,Uganda
Kiryandongo,1.88,32.06,Uganda
Gulu,2.78,32.28,Uganda
Adjumani,3.36,31.81,Uganda
Moyo,3.65,31.72,Uganda
Nwoya,2.63,32.00,Uganda
Amuru,2.81,31.94,Uganda
Kisoro,-1.35,29.70,Uganda
Kitgum,3.30,32.87,Uganda
Pader,3.05,33.22,Uganda
Katakwi,1.89,33.97,Uganda
Entebbe,0.06,32.46,Uganda
Moroto,2.54,34.64,Uganda
Mayuge,0.46,33.48,Uganda
Mityana,0.40,32.05,Uganda
Bundibugyo,0.71,30.06,Uganda
Fort Portal,0.67,30.28,Uganda
Manafwa,0.98,34.37,Uganda
Namutumba,0.84,33.69,Uganda
Butaleja,0.92,33.96,Uganda
Kaliro,0.89,33.50,Uganda
Gombe,0.18,32.12,Uganda
Soroti,1.71,33.60,Uganda
Amolatar,1.64,32.84,Uganda
Apac,1.98,32.53,Uganda
Mpigi,0.23,32.31,Uganda
Kamuli,0.95,33.12,Uganda
Iganga,0.61,33.47,Uganda
Kyankwanzi,1.20,31.81,Uganda
Busia,0.45,34.08,Uganda
Kagadi,0.94,30.81,Uganda
Mparo,-1.16,30.04,Uganda
Bupoto,0.91,34.36,Uganda
Butebo,1.19,33.92,Uganda
Kakumiro,0.78,31.32,Uganda
Kibiito,0.48,30.19,Uganda
Pakwach,2.47,31.48,Uganda
Palenga,2.61,32.34,Uganda
Rubanda,-1.19,29.85,Uganda
Kasaali,-0.62,31.55,Uganda
Dokolo,1.92,33.17,Uganda
Serere,1.52,33.46,Uganda
Kaberamaido,1.74,33.16,Uganda
Trinidad,-33.54,-56.90,Uruguay
Paso de los Toros,-32.81,-56.51,Uruguay
Santa Lucia,-34.47,-56.40,Uruguay
Tranqueras,-31.20,-55.75,Uruguay
Montevideo,-34.86,-56.17,Uruguay
Vergara,-32.93,-53.95,Uruguay
Jose Batlle y Ordonez,-33.47,-55.12,Uruguay
La Paloma,-34.67,-54.17,Uruguay
Castillos,-34.17,-53.83,Uruguay
Lascano,-33.67,-54.20,Uruguay
Punta del Este,-34.97,-54.95,Uruguay
Aigua,-34.20,-54.75,Uruguay
Carmelo,-33.99,-58.30,Uruguay
Artigas,-30.42,-56.49,Uruguay
Canelones,-34.54,-56.28,Uruguay
Durazno,-33.41,-56.51,Uruguay
Florida,-34.10,-56.22,Uruguay
Fray Bentos,-33.14,-58.30,Uruguay
Maldonado,-34.91,-54.96,Uruguay
Melo,-32.36,-54.18,Uruguay
Mercedes,-33.26,-58.03,Uruguay
Minas,-34.37,-55.23,Uruguay
Paysandu,-32.33,-58.08,Uruguay
Rivera,-30.90,-55.56,Uruguay
Rocha,-34.48,-54.33,Uruguay
Salto,-31.39,-57.97,Uruguay
Tacuarembo,-31.71,-55.98,Uruguay
Treinta y Tres,-33.23,-54.38,Uruguay
Trinidad,-33.52,-56.90,Uruguay
Bella Union,-30.26,-57.60,Uruguay
Baltasar Brum,-30.73,-57.32,Uruguay
San Jose de Mayo,-34.35,-56.71,Uruguay
Colonia del Sacramento,-34.48,-57.84,Uruguay
Urgut,39.40,67.26,Uzbekistan
Qoqon,40.54,70.94,Uzbekistan
Iskandar,41.55,69.68,Uzbekistan
Shahrisabz,39.06,66.83,Uzbekistan
Olmaliq,40.85,69.60,Uzbekistan
Samarqand,39.67,66.95,Uzbekistan
Fargona,40.39,71.78,Uzbekistan
Chirchiq,41.46,69.56,Uzbekistan
Angren,41.03,70.15,Uzbekistan
Guliston,40.50,68.79,Uzbekistan
Qunghirot,43.07,58.90,Uzbekistan
Tashkent,41.31,69.29,Uzbekistan
Muynoq,43.77,59.02,Uzbekistan
Jizzax,40.10,67.83,Uzbekistan
Bukhara,39.78,64.43,Uzbekistan
Khiwa,41.39,60.36,Uzbekistan
Nukus,42.47,59.62,Uzbekistan
Kogon,39.72,64.55,Uzbekistan
Khujayli,42.40,59.45,Uzbekistan
Zarafshon,41.58,64.20,Uzbekistan
Navoi,40.11,65.36,Uzbekistan
Chimboy,42.93,59.77,Uzbekistan
Andijon,40.79,72.34,Uzbekistan
Urgentch,41.56,60.64,Uzbekistan
Namangan,41.00,71.67,Uzbekistan
Navoiy,40.10,65.37,Uzbekistan
Qarshi,38.87,65.80,Uzbekistan
Termiz,37.23,67.27,Uzbekistan
Denow,38.28,67.89,Uzbekistan
Kattaqorgon,39.90,66.26,Uzbekistan
Kingstown,13.15,-61.21,Saint Vincent And The Grenadines
Anaco,9.44,-64.46,Venezuela
Machiques,10.07,-72.55,Venezuela
La Esmeralda,3.17,-65.55,Venezuela
Chaguaramas,9.22,-63.75,Venezuela
Santa Rita,10.53,-71.50,Venezuela
Puerto Cabello,10.47,-68.17,Venezuela
El Dorado,6.73,-61.63,Venezuela
Valera,9.32,-70.62,Venezuela
Upata,8.02,-62.41,Venezuela
San Carlos del Zulia,9.01,-71.92,Venezuela
Porlamar,10.96,-63.85,Venezuela
El Manteco,7.35,-62.53,Venezuela
Ciudad Guayana,8.37,-62.62,Venezuela
Carupano,10.67,-63.23,Venezuela
El Tigre,8.89,-64.26,Venezuela
Zaraza,9.34,-65.32,Venezuela
Valle de la Pascua,9.21,-66.02,Venezuela
Altagracia de Orituco,9.85,-66.38,Venezuela
Maiquetia,10.60,-66.97,Venezuela
Ocumare del Tuy,10.12,-66.78,Venezuela
Guasdualito,7.24,-70.74,Venezuela
Caracas,10.50,-66.92,Venezuela
Punto Fijo,11.72,-70.21,Venezuela
Acarigua,9.58,-69.20,Venezuela
Puerto la Cruz,10.17,-64.68,Venezuela
Carora,10.19,-70.08,Venezuela
Calabozo,8.93,-67.44,Venezuela
Cabimas,10.43,-71.45,Venezuela
Barcelona,10.13,-64.72,Venezuela
Barinas,8.60,-70.25,Venezuela
Barquisimeto,10.05,-69.30,Venezuela
Ciudad Bolivar,8.10,-63.60,Venezuela
Coro,11.42,-69.68,Venezuela
Cumana,10.45,-64.18,Venezuela
Guanare,9.05,-69.75,Venezuela
La Guaira,10.60,-66.93,Venezuela
Los Teques,10.42,-67.02,Venezuela
Maracaibo,10.73,-71.66,Venezuela
Maracay,10.25,-67.60,Venezuela
Maturin,9.75,-63.17,Venezuela
Merida,8.40,-71.13,Venezuela
San Carlos,9.66,-68.59,Venezuela
San Cristobal,7.77,-72.25,Venezuela
San Felipe,10.34,-68.75,Venezuela
San Fernando de Apure,7.90,-67.47,Venezuela
San Juan De Los Morros,9.90,-67.35,Venezuela
Trujillo,9.38,-70.44,Venezuela
Tucupita,9.06,-62.06,Venezuela
Valencia,10.23,-67.98,Venezuela
Puerto Ayacucho,5.66,-67.62,Venezuela
La Asuncion,11.03,-63.88,Venezuela
Road Town,18.42,-64.62,"Virgin Islands, British"
Quang Tri,16.75,107.20,Vietnam
Thanh Hoa,19.82,105.80,Vietnam
Vung Tau,10.36,107.09,Vietnam
Play Ku,13.98,108.00,Vietnam
Cam Ranh,11.90,109.22,Vietnam
Dong Ha,16.85,107.13,Vietnam
Bac Lieu,9.28,105.72,Vietnam
Luan Chau,21.74,103.34,Vietnam
My Tho,10.35,106.35,Vietnam
Bac Giang,21.27,106.20,Vietnam
Bac Ninh,21.19,106.08,Vietnam
Quang Ngai,15.15,108.83,Vietnam
Long Xuyen,10.38,105.42,Vietnam
Bac Kan,22.13,105.83,Vietnam
Thai Binh,20.45,106.33,Vietnam
Nam Dinh,20.42,106.20,Vietnam
Thanh Pho Ba Ria,10.50,107.17,Vietnam
Lao Chi,22.50,103.97,Vietnam
Tuyen Quang,21.82,105.21,Vietnam
Da Nang,16.06,108.25,Vietnam
Vinh Yen,21.31,105.60,Vietnam
Hoa Binh,20.81,105.34,Vietnam
Kon Tum,14.38,107.98,Vietnam
Thanh Pho Phu Ly,20.55,105.91,Vietnam
Son Tay,21.14,105.51,Vietnam
Hanoi,21.03,105.85,Vietnam
Cao Bang,22.66,106.27,Vietnam
Ha Giang,22.83,104.98,Vietnam
Da Lat,11.93,108.42,Vietnam
Haiphong,20.83,106.68,Vietnam
Lang Son,21.85,106.76,Vietnam
Hung Yen,20.65,106.05,Vietnam
Hong Gai,20.96,107.10,Vietnam
Cam Pha,21.04,107.32,Vietnam
Buon Me Thuot,12.67,108.05,Vietnam
Son La,21.33,103.91,Vietnam
Ninh Binh,20.25,105.98,Vietnam
Chau Doc,10.70,105.12,Vietnam
Thai Nguyen,21.60,105.83,Vietnam
Hai Duong,20.94,106.33,Vietnam
Tuy Hoa,13.08,109.32,Vietnam
Vinh,18.70,105.68,Vietnam
Yen Bai,21.71,104.88,Vietnam
Tam Ky,15.57,108.47,Vietnam
Gia Nghia,12.00,107.69,Vietnam
Da Nang,16.07,108.22,Vietnam
Ho Chi Minh City,10.78,106.70,Vietnam
Da Lat,11.94,108.44,Vietnam
Nha Trang,12.25,109.17,Vietnam
Cao Lanh,10.47,105.64,Vietnam
Dong Hoi,17.48,106.60,Vietnam
Vinh Long,10.26,105.96,Vietnam
Truc Giang,10.24,106.38,Vietnam
Rach Gia,10.02,105.09,Vietnam
Soc Trang,9.60,105.98,Vietnam
Can Tho,10.05,105.77,Vietnam
Dong Xoai,11.53,106.88,Vietnam
Hon Quan,11.65,106.60,Vietnam
Hue,16.47,107.58,Vietnam
Vi Thanh,9.78,105.47,Vietnam
Viet Tri,21.33,105.43,Vietnam
Bien Hoa,10.97,106.83,Vietnam
Ha Tinh,18.33,105.90,Vietnam
Kon Tum,14.35,108.01,Vietnam
Phan Rang,11.57,108.98,Vietnam
Phan Thiet,10.93,108.10,Vietnam
Tan An,10.53,106.42,Vietnam
Ca Mau,9.18,105.15,Vietnam
Tra Vinh,9.93,106.33,Vietnam
Qui Nhon,13.78,109.18,Vietnam
Thu Dau Mot,10.97,106.65,Vietnam
Tay Ninh,11.32,106.15,Vietnam
Lai Chau,22.40,103.46,Vietnam
Dien Bien Phu,21.39,103.02,Vietnam
Port Vila,-17.73,168.32,Vanuatu
Isangel,-19.54,169.28,Vanuatu
Luganville,-15.51,167.18,Vanuatu
Lakatoro,-16.11,167.42,Vanuatu
Saratamata,-15.29,167.99,Vanuatu
Sola,-13.88,167.55,Vanuatu
Leava,-14.29,-178.16,Wallis And Futuna
Mata-Utu,-13.28,-176.17,Wallis And Futuna
Apia,-13.84,-171.74,Samoa
Afega,-13.80,-171.85,Samoa
Asau,-13.52,-172.64,Samoa
Leulumoega,-13.82,-171.96,Samoa
Safotu,-13.45,-172.40,Samoa
Safotulafai,-13.67,-172.18,Samoa
Lufilufi,-13.87,-171.60,Samoa
Mulifanua,-13.83,-172.04,Samoa
Saleaula,-13.45,-172.34,Samoa
Samamea,-13.93,-171.53,Samoa
Satupa`itea,-13.77,-172.33,Samoa
